Indicator,State,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder,New Hampshire,31.6,28,35.4,28.0 - 35.4,31.2-33.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,34.9,31.1,38.9,31.1 - 38.9,33.2-35.3
Symptoms of Depressive Disorder,New Hampshire,19,15.6,22.8,15.6 - 22.8,17.0-21.5
Symptoms of Anxiety Disorder,New Hampshire,29.4,25.7,33.2,25.7 - 33.2,29.3-31.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,32.2,28.6,36.1,28.6 - 36.1,27.3-33.3
Symptoms of Depressive Disorder,New Hampshire,19.8,15.5,24.7,15.5 - 24.7,16.6-22.4
Symptoms of Anxiety Disorder,New Hampshire,27.3,22.5,32.4,22.5 - 32.4,24.7-29.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.4,26.5,36.5,26.5 - 36.5,27.8-34.3
Symptoms of Depressive Disorder,New Hampshire,20.8,17,25.1,17.0 - 25.1,19.3-22.4
Symptoms of Anxiety Disorder,New Hampshire,26.5,23.3,29.8,23.3 - 29.8,24.2-30.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31,27,35.2,27.0 - 35.2,28.7-35.4
Symptoms of Depressive Disorder,New Hampshire,21.5,17.9,25.4,17.9 - 25.4,17.0-24.4
Symptoms of Anxiety Disorder,New Hampshire,36,31.3,41,31.3 - 41.0,34.8-36.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,39.2,34.4,44.1,34.4 - 44.1,38.9-41.6
Symptoms of Depressive Disorder,New Hampshire,24.2,19.8,29,19.8 - 29.0,21.6-26.2
Symptoms of Anxiety Disorder,New Hampshire,33.8,29.3,38.4,29.3 - 38.4,28.4-34.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,40.1,35.8,44.5,35.8 - 44.5,39.8-41.5
Symptoms of Depressive Disorder,New Hampshire,26.1,21.7,30.9,21.7 - 30.9,20.2-26.5
Symptoms of Anxiety Disorder,New Hampshire,37.3,32.5,42.3,32.5 - 42.3,36.1-37.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,41.7,36.5,47,36.5 - 47.0,41.4-43.7
Symptoms of Depressive Disorder,New Hampshire,23.8,20,27.9,20.0 - 27.9,21.1-26.5
Symptoms of Anxiety Disorder,New Hampshire,32.2,27.8,36.9,27.8 - 36.9,27.4-34.2
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,39.5,34.9,44.1,34.9 - 44.1,31.8-39.7
Symptoms of Depressive Disorder,New Hampshire,25.4,19.7,31.8,19.7 - 31.8,21.3-26.0
Symptoms of Anxiety Disorder,New Hampshire,33.7,28.1,39.8,28.1 - 39.8,29.2-33.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,36.5,30.6,42.7,30.6 - 42.7,33.6-38.4
Symptoms of Depressive Disorder,New Hampshire,25.2,21.4,29.3,21.4 - 29.3,25.2-27.1
Symptoms of Anxiety Disorder,New Hampshire,32.5,28.5,36.8,28.5 - 36.8,32.4-35.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,37.7,33.8,41.6,33.8 - 41.6,37.7-40.8
Symptoms of Depressive Disorder,New Hampshire,19.6,15.7,24,15.7 - 24.0,19.6-24.8
Symptoms of Anxiety Disorder,New Hampshire,29.3,24.6,34.4,24.6 - 34.4,25.0-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,32.6,27.9,37.6,27.9 - 37.6,29.2-36.4
Symptoms of Depressive Disorder,New Hampshire,23.5,18.5,29,18.5 - 29.0,18.3-24.1
Symptoms of Anxiety Disorder,New Hampshire,26.6,22.4,31.2,22.4 - 31.2,21.4-30.2
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,34.4,29.7,39.2,29.7 - 39.2,25.5-35.9
Symptoms of Depressive Disorder,New Hampshire,21.7,18.6,25,18.6 - 25.0,15.9-22.9
Symptoms of Anxiety Disorder,New Hampshire,31.6,26,37.7,26.0 - 37.7,31.5-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,35.7,30.6,41,30.6 - 41.0,33.4-36.0
Symptoms of Depressive Disorder,New Hampshire,23.3,18.1,29.2,18.1 - 29.2,22.5-23.5
Symptoms of Anxiety Disorder,New Hampshire,28,22.8,33.7,22.8 - 33.7,26.7-29.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,32.4,27.1,38,27.1 - 38.0,32.1-34.7
Symptoms of Depressive Disorder,New Hampshire,17.7,14.3,21.6,14.3 - 21.6,13.4-19.5
Symptoms of Anxiety Disorder,New Hampshire,23.3,19.6,27.4,19.6 - 27.4,16.9-23.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,27.3,23.4,31.5,23.4 - 31.5,22.0-28.7
Symptoms of Depressive Disorder,New Hampshire,14.6,11.5,18.3,11.5 - 18.3,14.6-19.1
Symptoms of Anxiety Disorder,New Hampshire,23.3,18.9,28.2,18.9 - 28.2,19.1-23.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,26.3,22,31,22.0 - 31.0,23.2-27.3
Symptoms of Depressive Disorder,New Hampshire,20.5,15.6,26.1,15.6 - 26.1,19.0-20.6
Symptoms of Anxiety Disorder,New Hampshire,19.6,15.3,24.4,15.3 - 24.4,17.2-23.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,27.5,22.5,32.9,22.5 - 32.9,27.2-28.9
Symptoms of Depressive Disorder,New Hampshire,26.3,21.5,31.5,21.5 - 31.5,22.4-28.2
Symptoms of Anxiety Disorder,New Hampshire,28.8,24,34.1,24.0 - 34.1,27.0-31.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,33.4,28.6,38.4,28.6 - 38.4,31.9-36.5
Symptoms of Depressive Disorder,New Hampshire,13.2,9.6,17.6,9.6 - 17.6,13.2-19.3
Symptoms of Anxiety Disorder,New Hampshire,19.1,14.4,24.5,14.4 - 24.5,17.3-22.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,21,16,26.7,16.0 - 26.7,21.0-26.7
Symptoms of Depressive Disorder,New Hampshire,19.3,15,24.3,15.0 - 24.3,17.5-20.3
Symptoms of Anxiety Disorder,New Hampshire,25.3,20.7,30.4,20.7 - 30.4,24.2-26.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,29.9,24.9,35.3,24.9 - 35.3,28.2-31.2
Symptoms of Depressive Disorder,New Hampshire,16.8,12.4,22,12.4 - 22.0,16.1-18.7
Symptoms of Anxiety Disorder,New Hampshire,21.8,17.8,26.2,17.8 - 26.2,19.9-23.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,25.9,21,31.2,21.0 - 31.2,23.5-27.0
Symptoms of Depressive Disorder,New Hampshire,20.8,16.8,25.2,16.8 - 25.2,18.9-21.1
Symptoms of Anxiety Disorder,New Hampshire,23.2,19.2,27.5,19.2 - 27.5,19.2-23.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,30,25.6,34.7,25.6 - 34.7,28.1-30.3
Symptoms of Depressive Disorder,New Hampshire,17.2,13.4,21.7,13.4 - 21.7,15.6-19.4
Symptoms of Anxiety Disorder,New Hampshire,21.6,16.8,27,16.8 - 27.0,21.6-25.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,23.9,19.1,29.2,19.1 - 29.2,23.9-29.4
Symptoms of Depressive Disorder,New Hampshire,18.3,13.5,24,13.5 - 24.0,10.6-19.5
Symptoms of Anxiety Disorder,New Hampshire,26.3,20.8,32.4,20.8 - 32.4,25.6-27.0
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,28.7,23.4,34.6,23.4 - 34.6,19.9-29.2
Symptoms of Depressive Disorder,New Hampshire,17,12.9,21.8,12.9 - 21.8,15.3-18.3
Symptoms of Anxiety Disorder,New Hampshire,24.8,20.3,29.8,20.3 - 29.8,18.6-24.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,26.8,22.1,32,22.1 - 32.0,23.7-28.2
Symptoms of Depressive Disorder,New Hampshire,14.8,10.5,20.1,10.5 - 20.1,14.1-20.2
Symptoms of Anxiety Disorder,New Hampshire,20,16,24.4,16.0 - 24.4,20.0-24.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,23.5,18.4,29.2,18.4 - 29.2,22.9-28.6
Symptoms of Depressive Disorder,New Hampshire,21.1,17.7,24.7,17.7 - 24.7,19.4-21.5
Symptoms of Anxiety Disorder,New Hampshire,27,22.5,31.9,22.5 - 31.9,25.1-27.0
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,30.7,26.4,35.3,26.4 - 35.3,29.6-31.1
Symptoms of Depressive Disorder,New Hampshire,21,17.6,24.7,17.6 - 24.7,18.5-21.0
Symptoms of Anxiety Disorder,New Hampshire,27.2,24.3,30.3,24.3 - 30.3,25.8-28.0
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.7,28.3,35.2,28.3 - 35.2,29.8-32.2
Symptoms of Depressive Disorder,New Hampshire,16.2,13.1,19.7,13.1 - 19.7,15.0-20.3
Symptoms of Anxiety Disorder,New Hampshire,20.8,17.3,24.6,17.3 - 24.6,20.8-25.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,23.9,20.4,27.8,20.4 - 27.8,23.9-28.5
Symptoms of Depressive Disorder,New Hampshire,18.8,15.6,22.3,15.6 - 22.3,14.5-18.8
Symptoms of Anxiety Disorder,New Hampshire,26.4,22.1,31,22.1 - 31.0,24.5-26.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,29.6,25.2,34.4,25.2 - 34.4,28.8-29.9
Symptoms of Depressive Disorder,New Hampshire,20.9,16.3,26.1,16.3 - 26.1,20.0-21.1
Symptoms of Anxiety Disorder,New Hampshire,24.7,21,28.6,21.0 - 28.6,19.2-24.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,30.8,26.1,35.9,26.1 - 35.9,30.2-32.7
Symptoms of Depressive Disorder,New Hampshire,21.6,16.5,27.5,16.5 - 27.5,20.9-23.1
Symptoms of Anxiety Disorder,New Hampshire,30,24.3,36.2,24.3 - 36.2,28.0-32.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.9,26,38.2,26.0 - 38.2,30.1-31.9
Symptoms of Depressive Disorder,New Hampshire,20.4,15.9,25.4,15.9 - 25.4,19.6-21.6
Symptoms of Anxiety Disorder,New Hampshire,29,24.4,33.9,24.4 - 33.9,28.4-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.2,26.5,36.2,26.5 - 36.2,29.9-31.4
Symptoms of Depressive Disorder,New Hampshire,15.7,12.3,19.6,12.3 - 19.6,12.4-20.4
Symptoms of Anxiety Disorder,New Hampshire,26.2,22,30.7,22.0 - 30.7,23.2-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,28.8,24.5,33.4,24.5 - 33.4,25.5-30.3
Symptoms of Depressive Disorder,New Hampshire,18.8,14.2,24.1,14.2 - 24.1,15.8-19.3
Symptoms of Anxiety Disorder,New Hampshire,26.9,21.8,32.5,21.8 - 32.5,25.7-27.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,28.8,23.5,34.6,23.5 - 34.6,24.5-29.4
Symptoms of Depressive Disorder,New Hampshire,23.2,18.3,28.7,18.3 - 28.7,22.4-24.4
Symptoms of Anxiety Disorder,New Hampshire,36.1,30.5,41.9,30.5 - 41.9,34.0-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,38.1,32.5,43.9,32.5 - 43.9,38.0-46.8
Symptoms of Depressive Disorder,New Hampshire,20.9,16,26.6,16.0 - 26.6,15.5-21.7
Symptoms of Anxiety Disorder,New Hampshire,28,22.2,34.4,22.2 - 34.4,25.3-28.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,33.2,27.4,39.4,27.4 - 39.4,27.5-33.3
Symptoms of Depressive Disorder,New Hampshire,22.9,18.2,28.2,18.2 - 28.2,21.1-24.0
Symptoms of Anxiety Disorder,New Hampshire,27,22.1,32.4,22.1 - 32.4,23.0-28.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,32.4,27.2,37.9,27.2 - 37.9,25.6-32.9
Symptoms of Depressive Disorder,New Hampshire,22,17.7,26.7,17.7 - 26.7,20.7-23.0
Symptoms of Anxiety Disorder,New Hampshire,29.6,24.6,35,24.6 - 35.0,28.8-31.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,34.1,29,39.5,29.0 - 39.5,33.4-36.0
Symptoms of Depressive Disorder,New Hampshire,21.2,16.9,25.9,16.9 - 25.9,19.7-21.7
Symptoms of Anxiety Disorder,New Hampshire,27.7,23.6,32.1,23.6 - 32.1,27.5-29.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.5,27.3,35.9,27.3 - 35.9,29.5-32.0
Symptoms of Depressive Disorder,New Hampshire,17.6,14.5,21,14.5 - 21.0,15.4-19.5
Symptoms of Anxiety Disorder,New Hampshire,26.3,22.3,30.5,22.3 - 30.5,25.7-28.2
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,29.4,25.4,33.7,25.4 - 33.7,24.1-29.4
Symptoms of Depressive Disorder,New Hampshire,18.4,15.4,21.8,15.4 - 21.8,15.4-20.0
Symptoms of Anxiety Disorder,New Hampshire,25.5,21.9,29.5,21.9 - 29.5,17.9-25.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,29.1,25.6,32.8,25.6 - 32.8,22.5-30.4
Symptoms of Depressive Disorder,New Hampshire,18.5,14.2,23.4,14.2 - 23.4,8.6-18.5
Symptoms of Anxiety Disorder,New Hampshire,22.1,18.4,26.2,18.4 - 26.2,17.5-26.2
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,28.6,24.1,33.5,24.1 - 33.5,20.4-30.1
Symptoms of Depressive Disorder,New Hampshire,19.2,14.9,24.2,14.9 - 24.2,11.9-19.2
Symptoms of Anxiety Disorder,New Hampshire,30.1,25.2,35.3,25.2 - 35.3,30.0-39.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,32.9,27.6,38.6,27.6 - 38.6,31.6-34.5
Symptoms of Depressive Disorder,New Hampshire,21,16.3,26.4,16.3 - 26.4,18.9-21.2
Symptoms of Anxiety Disorder,New Hampshire,27.9,22.7,33.6,22.7 - 33.6,27.6-29.2
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.6,26.1,37.5,26.1 - 37.5,30.2-31.9
Symptoms of Depressive Disorder,New Hampshire,17.8,14.6,21.5,14.6 - 21.5,14.9-19.5
Symptoms of Anxiety Disorder,New Hampshire,24,19.8,28.7,19.8 - 28.7,15.9-25.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,27.5,23.1,32.2,23.1 - 32.2,21.7-29.8
Symptoms of Depressive Disorder,New Hampshire,19.1,15.2,23.4,15.2 - 23.4,15.3-19.1
Symptoms of Anxiety Disorder,New Hampshire,27.3,23.7,31.1,23.7 - 31.1,25.6-28.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,30.1,26.3,34.2,26.3 - 34.2,22.8-30.1
Symptoms of Depressive Disorder,New Hampshire,17.6,14.3,21.4,14.3 - 21.4,11.0-17.6
Symptoms of Anxiety Disorder,New Hampshire,24.2,20.8,27.8,20.8 - 27.8,22.6-24.9
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,26.5,22.9,30.4,22.9 - 30.4,21.3-26.8
Symptoms of Depressive Disorder,New Hampshire,22.2,18.4,26.3,18.4 - 26.3,22.0-24.4
Symptoms of Anxiety Disorder,New Hampshire,28.3,24.2,32.7,24.2 - 32.7,26.5-28.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,33,28.9,37.3,28.9 - 37.3,30.7-33.5
Symptoms of Depressive Disorder,New Hampshire,23.2,19.4,27.3,19.4 - 27.3,22.8-24.5
Symptoms of Anxiety Disorder,New Hampshire,30.5,26.4,34.8,26.4 - 34.8,30.0-31.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,34.4,30.1,39,30.1 - 39.0,32.8-34.9
Symptoms of Depressive Disorder,New Hampshire,9.5,6.6,13.3,6.6 - 13.3,7.7-12.0
Symptoms of Anxiety Disorder,New Hampshire,13.2,9.6,17.6,9.6 - 17.6,12.6-15.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,16.3,12.5,20.7,12.5 - 20.7,14.3-19.1
Symptoms of Depressive Disorder,New Hampshire,14.3,10.9,18.2,10.9 - 18.2,13.3-15.1
Symptoms of Anxiety Disorder,New Hampshire,19.5,15.9,23.5,15.9 - 23.5,17.6-19.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,21.9,18.1,26,18.1 - 26.0,21.0-23.3
Symptoms of Depressive Disorder,New Hampshire,9.1,6.9,11.8,6.9 - 11.8,8.8-12.0
Symptoms of Anxiety Disorder,New Hampshire,13.9,10.5,17.9,10.5 - 17.9,11.3-16.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,16.3,13,20,13.0 - 20.0,14.9-19.5
Symptoms of Depressive Disorder,New Hampshire,14.5,11.3,18.1,11.3 - 18.1,14.1-14.9
Symptoms of Anxiety Disorder,New Hampshire,18.7,15.8,21.9,15.8 - 21.9,18.6-19.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,22.3,19.1,25.7,19.1 - 25.7,21.5-23.0
Symptoms of Depressive Disorder,New Hampshire,13.6,10.2,17.5,10.2 - 17.5,12.4-14.3
Symptoms of Anxiety Disorder,New Hampshire,18.1,14.6,22,14.6 - 22.0,16.6-18.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,20.7,16.9,24.9,16.9 - 24.9,20.0-21.3
Symptoms of Depressive Disorder,New Hampshire,16.4,12.7,20.7,12.7 - 20.7,15.4-17.7
Symptoms of Anxiety Disorder,New Hampshire,19.5,15.5,23.9,15.5 - 23.9,19.1-21.2
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,24.1,20.2,28.3,20.2 - 28.3,22.4-24.6
Symptoms of Depressive Disorder,New Hampshire,13.3,9.9,17.3,9.9 - 17.3,12.0-13.9
Symptoms of Anxiety Disorder,New Hampshire,16.2,12.8,20,12.8 - 20.0,16.2-17.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,21.4,17.5,25.8,17.5 - 25.8,18.9-21.4
Symptoms of Depressive Disorder,New Hampshire,12.5,9.2,16.4,9.2 - 16.4,12.5-13.5
Symptoms of Anxiety Disorder,New Hampshire,17.4,13.5,21.9,13.5 - 21.9,16.4-17.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,20.5,16.1,25.5,16.1 - 25.5,19.3-21.2
Symptoms of Depressive Disorder,New Hampshire,18.2,14.2,22.8,14.2 - 22.8,15.5-18.2
Symptoms of Anxiety Disorder,New Hampshire,22.8,18.5,27.5,18.5 - 27.5,19.4-23.9
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,27.8,23.9,32,23.9 - 32.0,23.1-27.8
Symptoms of Depressive Disorder,New Jersey,23.6,20.4,27,20.4 - 27.0,22.2 - 24.0
Symptoms of Anxiety Disorder,New Jersey,31.4,28.2,34.7,28.2 - 34.7,30.4 - 31.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,37.6,34.2,41.1,34.2 - 41.1,36.8 - 41.4
Symptoms of Depressive Disorder,New Jersey,26.4,20.3,33.2,20.3 - 33.2,25.7 - 35.5
Symptoms of Anxiety Disorder,New Jersey,36.3,29.9,43.2,29.9 - 43.2,31.6 - 38.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,39.6,32.9,46.7,32.9 - 46.7,36.1 - 48.4
Symptoms of Depressive Disorder,New Jersey,26.9,22.5,31.6,22.5 - 31.6,25.7-36.4
Symptoms of Anxiety Disorder,New Jersey,34.4,29.1,40,29.1 - 40.0,28.9-36.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,39.3,34,44.8,34.0 - 44.8,35.0-44.3
Symptoms of Depressive Disorder,New Jersey,22.9,19.4,26.6,19.4 - 26.6,21.0-22.9
Symptoms of Anxiety Disorder,New Jersey,26.2,22.3,30.5,22.3 - 30.5,24.8-28.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,31.1,27.5,35,27.5 - 35.0,29.6-33.1
Symptoms of Depressive Disorder,New Jersey,25.8,22,29.8,22.0 - 29.8,24.4-26.8
Symptoms of Anxiety Disorder,New Jersey,31.8,28.3,35.5,28.3 - 35.5,31.8-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,36.5,32.9,40.3,32.9 - 40.3,34.3-36.9
Symptoms of Depressive Disorder,New Jersey,21.8,17.2,27,17.2 - 27.0,21.3-25.0
Symptoms of Anxiety Disorder,New Jersey,30.7,25.5,36.4,25.5 - 36.4,29.9-32.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,33.8,28.2,39.8,28.2 - 39.8,31.1-34.7
Symptoms of Depressive Disorder,New Jersey,26.9,22.9,31.2,22.9 - 31.2,26.8-34.5
Symptoms of Anxiety Disorder,New Jersey,33.5,28.5,38.8,28.5 - 38.8,33.4-39.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,38.7,33.9,43.6,33.9 - 43.6,38.0-43.5
Symptoms of Depressive Disorder,New Jersey,24.4,20.8,28.2,20.8 - 28.2,22.5-25.0
Symptoms of Anxiety Disorder,New Jersey,30.8,26.4,35.4,26.4 - 35.4,27.8-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,34.1,29.6,38.8,29.6 - 38.8,31.8-34.4
Symptoms of Depressive Disorder,New Jersey,24.2,20.3,28.5,20.3 - 28.5,23.9-26.0
Symptoms of Anxiety Disorder,New Jersey,30.2,26,34.6,26.0 - 34.6,29.5-32.2
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,33.9,29.9,38,29.9 - 38.0,29.2-34.0
Symptoms of Depressive Disorder,New Jersey,25.9,22.2,29.8,22.2 - 29.8,23.9-26.7
Symptoms of Anxiety Disorder,New Jersey,33.6,29.6,37.8,29.6 - 37.8,33.0-35.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,38.2,34.1,42.4,34.1 - 42.4,38.1-40.6
Symptoms of Depressive Disorder,New Jersey,28.7,25.5,32,25.5 - 32.0,27.3-30.7
Symptoms of Anxiety Disorder,New Jersey,37.1,33.2,41.1,33.2 - 41.1,34.3-37.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,42,38.3,45.8,38.3 - 45.8,38.4-42.0
Symptoms of Depressive Disorder,New Jersey,26.8,22,32,22.0 - 32.0,26.0-29.3
Symptoms of Anxiety Disorder,New Jersey,34.2,29,39.6,29.0 - 39.6,32.3-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,37.6,31.9,43.6,31.9 - 43.6,37.2-40.5
Symptoms of Depressive Disorder,New Jersey,24.7,21.9,27.8,21.9 - 27.8,23.9-25.7
Symptoms of Anxiety Disorder,New Jersey,33.3,30.4,36.4,30.4 - 36.4,30.7-33.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,37.8,34.6,41.2,34.6 - 41.2,35.7-38.2
Symptoms of Depressive Disorder,New Jersey,21.9,18.5,25.5,18.5 - 25.5,21.8-23.2
Symptoms of Anxiety Disorder,New Jersey,30.7,27.4,34.2,27.4 - 34.2,29.1-31.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,35.4,31.4,39.6,31.4 - 39.6,35.4-38.1
Symptoms of Depressive Disorder,New Jersey,23.7,20.2,27.4,20.2 - 27.4,21.6-24.0
Symptoms of Anxiety Disorder,New Jersey,34.9,30.9,39,30.9 - 39.0,34.0-41.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,38.3,34,42.7,34.0 - 42.7,36.3-38.4
Symptoms of Depressive Disorder,New Jersey,22.5,19.6,25.8,19.6 - 25.8,22.5-24.4
Symptoms of Anxiety Disorder,New Jersey,34.7,31.8,37.8,31.8 - 37.8,34.0-39.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,39.1,35.7,42.5,35.7 - 42.5,38.9-44.0
Symptoms of Depressive Disorder,New Jersey,23.4,20.2,26.9,20.2 - 26.9,22.5-25.2
Symptoms of Anxiety Disorder,New Jersey,31,27.5,34.7,27.5 - 34.7,30.4-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,35.7,31.7,39.9,31.7 - 39.9,35.5-37.1
Symptoms of Depressive Disorder,New Jersey,23.2,19.2,27.6,19.2 - 27.6,17.0-24.4
Symptoms of Anxiety Disorder,New Jersey,33.5,28.4,38.9,28.4 - 38.9,22.3-34.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,36.9,31.9,42.2,31.9 - 42.2,25.5-38.8
Symptoms of Depressive Disorder,New Jersey,26.2,22.7,29.9,22.7 - 29.9,21.6-26.2
Symptoms of Anxiety Disorder,New Jersey,36.2,32.1,40.5,32.1 - 40.5,34.4-36.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,40.9,36.8,45.1,36.8 - 45.1,39.8-41.5
Symptoms of Depressive Disorder,New Jersey,27.7,24.3,31.4,24.3 - 31.4,26.6-28.4
Symptoms of Anxiety Disorder,New Jersey,36.7,33.2,40.3,33.2 - 40.3,36.1-37.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,40.8,37.3,44.5,37.3 - 44.5,39.3-41.3
Symptoms of Depressive Disorder,New Jersey,28.7,24,33.7,24.0 - 33.7,26.6-29.6
Symptoms of Anxiety Disorder,New Jersey,34.8,30.5,39.2,30.5 - 39.2,34.3-35.9
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,41.4,36.4,46.5,36.4 - 46.5,41.2-44.1
Symptoms of Depressive Disorder,New Jersey,27.3,23.9,30.9,23.9 - 30.9,26.1-28.0
Symptoms of Anxiety Disorder,New Jersey,34.2,30.8,37.6,30.8 - 37.6,33.8-34.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,39.4,36.1,42.8,36.1 - 42.8,38.5-40.4
Symptoms of Depressive Disorder,New Jersey,29.1,25.7,32.7,25.7 - 32.7,27.2-30.3
Symptoms of Anxiety Disorder,New Jersey,35.3,31.3,39.5,31.3 - 39.5,35.2-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,42.2,38.3,46.2,38.3 - 46.2,40.9-43.2
Symptoms of Depressive Disorder,New Jersey,24.3,21.1,27.6,21.1 - 27.6,19.6-24.8
Symptoms of Anxiety Disorder,New Jersey,34.3,30.9,37.9,30.9 - 37.9,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,38.8,35.5,42.2,35.5 - 42.2,38.8-40.6
Symptoms of Depressive Disorder,New Jersey,26.5,23,30.2,23.0 - 30.2,24.2-27.4
Symptoms of Anxiety Disorder,New Jersey,33.1,29.4,37.1,29.4 - 37.1,32.9-34.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,38,34.7,41.5,34.7 - 41.5,36.0-38.2
Symptoms of Depressive Disorder,New Jersey,24.9,21.4,28.6,21.4 - 28.6,23.0-24.9
Symptoms of Anxiety Disorder,New Jersey,31.5,27.7,35.5,27.7 - 35.5,31.5-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,36,32,40.1,32.0 - 40.1,33.4-36.0
